vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2014 FOREST RIVER SOLERA 24R,2183754P,Used,"Garner, NC",,5,24 ft 10 in,89599,N/A
2018 THOR CHATEAU 24HL,2182276P,Used,"Hamburg, NY",,5,24 ft 11 in,89999,N/A
2017 FOREST RIVER FORESTER MBS 2401S,2195548,Used,"Thornburg, VA",,5,24 ft 8 in,89999,N/A
2017 FOREST RIVER FORESTER MBS 2401S,2198178,Used,"Thornburg, VA",,5,24 ft 8 in,89999,N/A
2015 RENEGADE VILLAGIO 25QRS,2129704,Used,"Spring, TX",,4,2 ft 1 in,89499,N/A
2016 WINNEBAGO FUSE 23T,2203336,Used,"Denton, TX",,4,24 ft 0 in,89499,N/A
2019 THOR CHATEAU CITATION 24SK,2153560,Used,"Spring, TX",,4,25 ft 10 in,89999,N/A
2020 COACHMEN PRISM 2150CB,2160573P,Used,"Wauconda, IL",,5,25 ft 1 in,89999,N/A
2017 THOR FOUR WINDS 24FS,2191889,Used,"Woodstock, GA",,5,24 ft 9 in,89999,N/A
2016 FOREST RIVER SUNSEEKER MBS 2400R,2198500P,Used,"Pasco, WA",,5,24 ft 11 in,90999,N/A
2017 THOR CHATEAU CITATION 24SS,1000616P,Used,"New Braunfels, TX",,5,24 ft 10 in,90999,N/A
2018 FOREST RIVER SUNSEEKER MBS 2400W,2169298,Used,"Camping World of Oklahoma City East - Oklahoma City, OK",,6,24 ft 11 in,91499,N/A
2017 WINNEBAGO FUSE 23T,2206070P,Used,"Coburg, OR",,4,24 ft 0 in,91499,N/A
2018 COACHMEN PRISM 2200LE,2165843,Used,"Davenport, IA",,5,25 ft 0 in,91999,N/A
2019 THOR FOUR WINDS 24WS,2194056P,Used,"Uxbridge, MA",,5,25 ft 7 in,92999,N/A
2018 THOR FOUR WINDS 24WS,2194287,Used,"Camping World of DeKalb - Cortland, IL",,5,25 ft 7 in,92999,N/A
2017 WINNEBAGO FUSE 23A,2208030P,Used,"Grand Rapids, MI",,5,24 ft 0 in,92999,N/A
2017 WINNEBAGO FUSE 23A,2156556Z,Used,"Hendersonville, NC",,5,24 ft 0 in,92995,N/A
2015 FOREST RIVER SOLERA 24S,2207921,Used,"Jacksonville, FL",,7,24 ft 8 in,93699,N/A
2016 THOR SYNERGY SP24,2152370,Used,"Deforest, WI",,5,24 ft 10 in,92999,N/A
2013 TIFFIN ALEGRO BREEZE 28BR,2191440,Used,"Roscoe, IL",,3,29 ft 7 in,93999,N/A
2015 MIDWEST AUTOMOTIVE DESIGN WEEKENDER WEEKENDER 3500 SPRINTER,2193326P,Used,"Syracuse, NY",,3,24 ft 0 in,93999,N/A
2016 THOR CHATEAU CITATION 24SA,2198429P,Used,"Vacaville, CA",,5,25 ft 8 in,93199,N/A
2017 COACHMEN PRISM 2150LE,2205208,Used,"Cedar Falls, IA",,5,25 ft 0 in,93599,N/A
2016 THOR CHATEAU CITATION 24SR,2191795,Used,"Woodstock, GA",,5,25 ft 0 in,93999,N/A
2020 WINNEBAGO VITA 24F,2159376,Used,"Myrtle Beach, SC",,5,24 ft 7 in,94999,N/A
2016 THOR FOUR WINDS SIESTA 24SR,2198367,Used,"Chattanooga, TN",,5,25 ft 0 in,94999,N/A
